timestamp,heart_rate
1970-01-01 00:00:00.000021312,74.0
1970-01-01 00:00:00.000021312,88.0
1970-01-01 00:00:00.000021312,62.0
1970-01-01 00:00:00.000021312,93.0
1970-01-01 00:00:00.000021312,68.0
1970-01-01 00:00:00.000021312,61.0
1970-01-01 00:00:00.000021312,90.0
1970-01-01 00:00:00.000021312,95.0
1970-01-01 00:00:00.000021312,78.0
1970-01-01 00:00:00.000021312,56.0
1970-01-01 00:00:00.000021312,99.0
1970-01-01 00:00:00.000021312,64.0
1970-01-01 00:00:00.000021312,83.0
1970-01-01 00:00:00.000021312,72.0
1970-01-01 00:00:00.000021312,59.0
1970-01-01 00:00:00.000021312,98.0
1970-01-01 00:00:00.000021312,73.0
1970-01-01 00:00:00.000021312,100.0
1970-01-01 00:00:00.000021312,92.0
1970-01-01 00:00:00.000021312,88.0
1970-01-01 00:00:00.000021312,79.0
1970-01-01 00:00:00.000021312,65.0
1970-01-01 00:00:00.000021312,90.0
1970-01-01 00:00:00.000021312,80.0
1970-01-01 00:00:00.000021312,74.0
1970-01-01 00:00:00.000021312,84.0
1970-01-01 00:00:00.000021312,93.0
1970-01-01 00:00:00.000021312,84.0
1970-01-01 00:00:00.000021312,116.0
1970-01-01 00:00:00.000021312,64.0
1970-01-01 00:00:00.000021312,103.0
1970-01-01 00:00:00.000021312,99.0
1970-01-01 00:00:00.000021312,69.0
1970-01-01 00:00:00.000021312,57.0
1970-01-01 00:00:00.000021312,91.0
1970-01-01 00:00:00.000021312,66.0
1970-01-01 00:00:00.000021312,84.0
1970-01-01 00:00:00.000021312,89.0
1970-01-01 00:00:00.000021312,83.0
1970-01-01 00:00:00.000021312,96.0
1970-01-01 00:00:00.000021312,94.0
1970-01-01 00:00:00.000021312,83.0
1970-01-01 00:00:00.000021312,70.0
1970-01-01 00:00:00.000021312,98.0
1970-01-01 00:00:00.000021312,99.0
1970-01-01 00:00:00.000021312,104.0
1970-01-01 00:00:00.000021312,98.0
1970-01-01 00:00:00.000021312,113.0
1970-01-01 00:00:00.000021312,128.0
1970-01-01 00:00:00.000021312,77.0
1970-01-01 00:00:00.000021312,88.0
1970-01-01 00:00:00.000021312,81.0
1970-01-01 00:00:00.000021312,88.0
1970-01-01 00:00:00.000021312,126.0
1970-01-01 00:00:00.000021312,123.0
1970-01-01 00:00:00.000021312,94.0
1970-01-01 00:00:00.000021312,100.0
1970-01-01 00:00:00.000021312,107.0
1970-01-01 00:00:00.000021312,90.0
1970-01-01 00:00:00.000021312,107.0
1970-01-01 00:00:00.000021312,92.0
1970-01-01 00:00:00.000021312,96.0
1970-01-01 00:00:00.000021312,100.0
1970-01-01 00:00:00.000021312,77.0
1970-01-01 00:00:00.000021312,73.0
1970-01-01 00:00:00.000021312,74.0
1970-01-01 00:00:00.000021312,77.0
1970-01-01 00:00:00.000021312,90.0
1970-01-01 00:00:00.000021312,82.0
1970-01-01 00:00:00.000021312,98.0
1970-01-01 00:00:00.000021312,88.0
1970-01-01 00:00:00.000021312,88.0
1970-01-01 00:00:00.000021312,81.0
1970-01-01 00:00:00.000021312,94.0
1970-01-01 00:00:00.000021312,69.0
1970-01-01 00:00:00.000021312,86.0
1970-01-01 00:00:00.000021312,79.0
1970-01-01 00:00:00.000021312,79.0
1970-01-01 00:00:00.000021312,78.0
1970-01-01 00:00:00.000021312,82.0
1970-01-01 00:00:00.000021312,92.0
1970-01-01 00:00:00.000021312,90.0
1970-01-01 00:00:00.000021312,87.0
1970-01-01 00:00:00.000021312,82.0
1970-01-01 00:00:00.000021312,91.0
1970-01-01 00:00:00.000021312,77.0
1970-01-01 00:00:00.000021312,82.0
1970-01-01 00:00:00.000021312,77.0
1970-01-01 00:00:00.000021312,87.0
1970-01-01 00:00:00.000021312,90.0
1970-01-01 00:00:00.000021312,94.0
1970-01-01 00:00:00.000021312,83.0
1970-01-01 00:00:00.000021312,74.0
1970-01-01 00:00:00.000021312,88.0
1970-01-01 00:00:00.000021312,86.0
1970-01-01 00:00:00.000021312,82.0
1970-01-01 00:00:00.000021312,84.0
1970-01-01 00:00:00.000021312,78.0
1970-01-01 00:00:00.000021312,130.0
